"";"time_seconds";"team_size";"item_weight";"item_volume";"palette_quantity";"palette_number"
"1";100;3;4,35;41538;24;1
"2";211;3;4,35;41538;24;2
"3";315;3;4,35;41538;24;3
"4";144;4;4,35;41538;24;4
"5";156;4;4,35;41538;24;5
"6";141;4;4,35;41538;24;6
"7";133;4;4,35;41538;24;7
"8";145;4;4,35;41538;24;8
"9";135;4;4,35;41538;24;9
"10";180;4;4,35;41538;24;10
"11";138;4;4,35;41538;24;11
"12";167;4;4,35;41538;24;12
"13";148;5;4,35;41538;24;13
"14";178;5;4,35;41538;24;14
"15";124;5;4,35;41538;24;15
"16";147;5;4,35;41538;24;16
"17";133;5;4,35;41538;24;17
"18";209;5;4,35;41538;24;18
"19";157;5;4,35;41538;24;19
"20";137;5;4,35;41538;24;20
"21";144;5;4,35;41538;24;21
"22";159;5;4,35;41538;24;22
"23";138;5;4,35;41538;24;23
"24";158;5;4,35;41538;24;24
"25";171;5;4,35;41538;24;25
"26";156;5;4,35;41538;24;26
"27";156;5;4,35;41538;24;27
"28";147;5;4,35;41538;24;28
"29";227;5;4,35;41538;24;29
"30";155;5;4,35;41538;24;30
"31";142;5;4,35;41538;24;31
"32";204;5;4,35;41538;24;32
"33";138;5;4,35;41538;24;33
"34";122;5;4,35;41538;24;34
"35";143;5;4,35;41538;24;35
"36";151;5;4,35;41538;24;36
"37";171;5;4,35;41538;24;37
"38";167;5;4,35;41538;24;38
"39";155;5;4,35;41538;24;39
"40";150;5;4,35;41538;24;40
"41";178;5;4,35;41538;24;41
"42";63;5;4,35;41538;24;42
"43";145;5;4,35;41538;24;43
"44";319;5;4,35;41538;24;44
"45";64;5;4,35;41538;24;45
"46";15;5;4,35;41538;24;46
"47";144;4;4,52;43987,5;30;1
"48";201;5;4,52;43987,5;30;2
"49";121;5;4,52;43987,5;30;3
"50";99;5;4,52;43987,5;30;4
"51";101;5;4,52;43987,5;30;5
"52";94;5;4,52;43987,5;30;6
"53";110;5;4,52;43987,5;30;7
"54";60;5;4,52;43987,5;30;8
"55";99;5;4,52;43987,5;30;9
"56";101;5;4,52;43987,5;30;10
"57";190;5;4,52;43987,5;30;11
"58";113;5;4,52;43987,5;30;12
"59";117;5;4,52;43987,5;30;13
"60";580;5;4,52;43987,5;30;14
"61";135;5;4,52;43987,5;30;15
"62";118;5;4,52;43987,5;30;16
"63";100;5;4,52;43987,5;30;17
"64";142;5;4,52;43987,5;30;18
"65";113;5;4,52;43987,5;30;19
"66";106;5;4,52;43987,5;30;20
"67";106;5;4,52;43987,5;30;21
"68";90;5;4,52;43987,5;30;22
"69";102;5;4,52;43987,5;30;23
"70";101;5;4,52;43987,5;30;24
"71";107;5;4,52;43987,5;30;25
"72";104;5;4,52;43987,5;30;26
"73";104;5;4,52;43987,5;30;27
"74";99;5;4,52;43987,5;30;28
"75";115;5;4,52;43987,5;30;29
"76";342;5;4,52;43987,5;30;30
"77";92;5;4,52;43987,5;30;31
"78";90;5;4,52;43987,5;30;32
"79";98;5;4,52;43987,5;30;33
"80";107;5;4,52;43987,5;30;34
"81";93;5;4,52;43987,5;30;35
"82";86;5;4,52;43987,5;30;36
"83";287;5;3,04;30723;50;37
"84";217;5;3,04;30723;50;38
"85";192;5;3,04;30723;50;39
"86";215;5;3,04;30723;50;40
"87";216;5;3,04;30723;50;41
"88";198;5;3,04;30723;50;42
"89";195;5;3,04;30723;50;43
"90";231;5;3,04;30723;50;44
"91";183;5;3,04;30723;50;45
"92";209;5;3,04;30723;50;46
"93";125;6;8,84;85800;14;1
"94";228;4;8,84;85800;14;2
"95";92;4;8,84;85800;14;3
"96";110;5;8,84;85800;14;4
"97";69;5;8,84;85800;14;5
"98";102;6;8,84;85800;14;6
"99";122;6;8,84;85800;14;7
"100";102;6;8,84;85800;14;8
"101";85;6;8,84;85800;14;9
"102";102;6;8,84;85800;14;10
"103";109;6;8,84;85800;14;11
"104";88;6;8,84;85800;14;12
"105";73;6;8,84;85800;14;13
"106";228;6;8,84;85800;14;14
"107";110;6;8,84;85800;14;15
"108";85;6;8,84;85800;14;16
"109";75;6;8,84;85800;14;17
"110";155;6;8,84;85800;14;18
"111";57;6;8,84;85800;14;19
"112";148;6;8,84;85800;14;20
"113";125;6;8,84;85800;14;21
"114";195;6;8,84;85800;14;22
"115";155;6;8,84;85800;14;23
"116";35;6;8,84;85800;14;24
"117";150;6;8,84;85800;14;25
"118";95;6;8,84;85800;14;26
"119";113;6;8,84;85800;14;27
"120";427;6;8,84;85800;14;28
"121";310;6;8,84;85800;14;29
"122";95;6;8,84;85800;14;30
"123";160;6;8,84;85800;14;31
"124";126;6;8,84;85800;14;32
"125";58;6;8,84;85800;14;33
"126";128;6;8,84;85800;14;34
"127";13;6;8,84;85800;14;35
"128";123;6;8,84;85800;14;36
"129";69;6;8,84;85800;14;37
"130";66;6;8,84;85800;14;38
"131";122;6;8,84;85800;14;39
"132";65;6;8,84;85800;14;40
"133";112;6;8,84;85800;14;41
"134";41;6;8,84;85800;14;42
"135";117;6;8,84;85800;14;43
"136";44;6;8,84;85800;14;44
"137";56;6;8,84;85800;14;45
"138";66;6;8,84;85800;14;46
"139";96;6;8,84;85800;14;47
"140";35;6;8,84;85800;14;48
"141";111;6;8,84;85800;14;49
"142";52;6;8,84;85800;14;50
"143";86;6;8,84;85800;14;51
"144";111;6;8,84;85800;14;52
"145";5;6;8,84;85800;14;53
"146";146;6;8,84;85800;14;54
"147";65;6;8,84;85800;14;55
"148";90;6;8,84;85800;14;56
"149";82;6;8,84;85800;14;57
"150";40;6;8,84;85800;14;58
"151";55;6;8,84;85800;14;59
"152";90;5;8,14;64275,75;24;1
"153";110;5;8,14;64275,75;24;2
"154";111;5;8,14;64275,75;24;3
"155";94;5;8,14;64275,75;24;4
"156";125;5;8,14;64275,75;24;5
"157";115;5;8,14;64275,75;24;6
"158";82;5;8,14;64275,75;24;7
"159";137;5;8,14;64275,75;24;8
"160";61;5;8,14;64275,75;24;9
"161";142;5;8,14;64275,75;24;10
"162";40;5;8,14;64275,75;24;11
"163";154;5;8,14;64275,75;24;12
"164";30;5;8,14;64275,75;24;13
"165";140;5;8,14;64275,75;24;14
"166";60;5;8,14;64275,75;24;15
"167";189;5;8,14;64275,75;24;16
"168";133;5;8,14;64275,75;24;17
"169";382;5;8,14;64275,75;24;18
"170";125;5;8,14;64275,75;24;19
"171";5;5;8,14;64275,75;24;20
"172";268;5;8,14;64275,75;24;21
"173";64;5;8,14;64275,75;24;22
"174";253;5;8,14;64275,75;24;23
"175";50;5;8,14;64275,75;24;24
"176";223;5;8,14;64275,75;24;25
"177";61;5;8,14;64275,75;24;26
"178";121;5;8,14;64275,75;24;27
"179";225;5;8,14;64275,75;24;28
"180";172;5;8,14;64275,75;24;29
"181";112;5;8,14;64275,75;24;30
"182";139;5;8,14;64275,75;24;31
"183";78;5;8,14;64275,75;24;32
"184";130;5;8,14;64275,75;24;33
"185";65;5;8,14;64275,75;24;34
"186";177;5;8,14;64275,75;24;35
"187";183;5;8,14;64275,75;24;36
"188";42;5;8,14;64275,75;24;37
"189";244;5;8,14;64275,75;24;38
"190";5;5;8,14;64275,75;24;39
"191";163;5;8,14;64275,75;24;40
"192";20;5;8,14;64275,75;24;41
"193";255;5;8,14;64275,75;24;42
"194";10;5;8,14;64275,75;24;43
"195";180;5;8,14;64275,75;24;1
"196";145;5;8,14;64275,75;24;2
"197";125;5;8,14;64275,75;24;3
"198";210;5;8,14;64275,75;24;4
"199";43;5;8,14;64275,75;24;5
"200";237;5;8,14;64275,75;24;6
"201";42;5;8,14;64275,75;24;7
"202";147;5;8,14;64275,75;24;8
"203";100;5;8,14;64275,75;24;9
"204";106;5;8,14;64275,75;24;10
"205";170;5;8,14;64275,75;24;11
"206";72;5;8,14;64275,75;24;12
"207";137;5;8,14;64275,75;24;13
"208";91;5;8,14;64275,75;24;14
"209";160;5;8,14;64275,75;24;15
"210";58;5;8,14;64275,75;24;16
"211";237;5;8,14;64275,75;24;17
"212";58;5;8,14;64275,75;24;18
"213";262;5;8,14;64275,75;24;19
"214";85;5;8,14;64275,75;24;20
"215";245;5;8,14;64275,75;24;21
"216";10;5;8,14;64275,75;24;22
"217";250;5;8,14;64275,75;24;23
"218";20;5;8,14;64275,75;24;24
"219";190;5;8,14;64275,75;24;25
"220";15;5;8,14;64275,75;24;26
"221";215;5;8,14;64275,75;24;27
"222";75;5;8,14;64275,75;24;28
"223";59;5;8,14;64275,75;24;29
"224";86;5;8,14;64275,75;24;30
"225";312;5;8,14;64275,75;24;31
"226";48;5;8,14;64275,75;24;32
"227";201;5;8,14;64275,75;24;33
"228";129;5;8,14;64275,75;24;34
"229";47;5;8,14;64275,75;24;35
"230";183;5;8,14;64275,75;24;36
"231";30;5;8,14;64275,75;24;37
"232";113;5;8,14;64275,75;24;38
"233";182;5;8,14;64275,75;24;39
"234";50;5;8,14;64275,75;24;40
"235";114;5;8,14;64275,75;24;41
